Fullname,ID
Simon Herbert,1061
Stephanie Caviezel,33
Robert Ulrich,2606
Joel Sticher,588
Patrick Dell'Orca,592
Stefan Riesen,361
Maurice Koll,128
Massimo Denicola,448
Seif Awadallah,605
Carlo Empoli,442
Philipp Stäuble,
Markus Wingeier,
David Frank,2518
Alina Habegger,643
Michael Kriss,280
Christian Grüninger,
Nicolas Schwab,572
Daniel Fürst,337
Fred Bucher,326
Diego De Nicola,335
Chi Tâm Le,306
Lukas Spring,2702
David Heath,150
Remi Kummer,2287
Monika Bettoni,25
Thomas Frei,491
Beat Zimmermann,135
Benedikt Ammann,438
Nadia Pfister,10
Marc André Rauber,2710
Davide Bianchetti,90
Leila Hirt,647
Michael Müller,216
Paulus Göktas,536
Nico Hüppi,458
Grégory Bohren,272
Nick Peter,454
Jürgen Steiner,204
Livia Widmer,
Miguel Mathis,170
Harry Motte,462
Alain Sütterlin,260
Jonathan Müller,433
Andreas Balcon,427
Luca Meier,212
Mauro Schegg,331
Muriel Wegmann,29
Jasper Peyer,402
Markus Roelli,169
Diego Perez Uvalle,359
Pascal Beetschen,545
Nando Wespi,372
Natasha Smith,34
Kevin Stehrenberger,141
Joel Schmid,550
Florian Dübendorfer,172
Mark Robbins,148
Patrick Frei,428
Cederic Grässli,168
Youssef Shaltout,1060
Noah Möri,507
Fredi Seiler,2533
Mario Burger,2526
Daniel Weibel,111
Nero Harms,380
Ivo Wallnöfer,509
Timo Wettach,600
Frederich Steenkamp,480
Peter Lindstrom,350
Oliver Dell'Oca,591
Evelyne Matzinger,23
Martin Meier,154
Sören Werner,134
Dimitrios Koutsoukos,617
Philipp Nuber,396
Arno MüllerPathle,201
Tomasz Dzwonkowski,561
Moritz Brunner,184
Zorana Krnetic,49
Sandra Nef,2676
Diego Niggli,157
Paul Colman,77
Gabriel Fernandez,469
Thomas Jäggi,165
Rolf Graf,632
Maciej Smialek,467
Stephan Germundson,107
Michael Vogel,259
Daniel Molnar,443
Roney Custode,517
Gerhard Schober,110
Hei Yi Mak,599
Ken Wacker,83
Monika Meier,642
Miriam Frei-Steiner,52
Caroline Pechous,30
Michéle Maurer,37
Michèle Häberli,31
Michèle Schwarz-Rellstab,74
Anna Bernhard,640
Reka Gaszmann,65
Sibylle Hellstern,8
Melanie Amrein,2748
Aleksandra Bakowska,61
Patricia Neupert,73
Judith Egli,7
Tabea Zech,38
Elisabeth Lamprecht,24
Janine Allemann,18
Simone Ferrarini,60
Cindy Merlo,9
Tanja Lehmann,
Yaelle Sulser,17
Andrea Koller,2708
Emilija Sungailaite,39
Mila Maziuk,44
Eliane Ebnöther,4
Petra Ognjenovic,50
Julia Vaez-Olivera,68
Celine Peiry,57
Sarah Mascheroni,1014
Sari Von Arx,32
Lili Szellö,2685
Josie Hughes,59
Margot Demont,70
Natascha Morrone,21
Marleina Wirth,42
Annina Babotai,27
Elisa Maria Aschmann,67
Maria Unternährer,64
